Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,choose_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
0,16,119,9,7,1,0,2022,8,24,0,3,3,7,1,1,0.1818181818181818,127.36363636363636,6.636363636363637,0
1,24,156,6,1,7,1,2022,8,24,1,3,3,7,1,0,0.4166666666666667,146.75,5.833333333333333,0
0,17,88,8,6,5,0,2022,8,25,0,6,6,5,5,0,0.4545454545454545,128.72727272727272,6.363636363636363,1
0,25,138,6,6,5,1,2022,8,25,0,6,6,5,5,0,0.6666666666666666,141.2,6.933333333333334,1
1,18,123,6,7,3,0,2022,8,26,1,5,1,7,7,1,0.1666666666666666,126.66666666666669,6.833333333333333,0
0,26,114,4,7,3,1,2022,8,26,1,5,1,7,3,1,0.2142857142857142,147.71428571428572,6.142857142857143,0
0,19,80,10,1,4,0,2022,8,27,1,3,3,4,4,0,0.4166666666666667,124.83333333333331,6.333333333333333,1
0,27,122,7,1,4,1,2022,8,27,1,3,3,1,4,1,0.4615384615384615,147.46153846153845,5.846153846153846,1
1,20,122,6,2,0,0,2022,8,28,0,0,0,0,2,0,0.3636363636363636,130.63636363636363,5.363636363636363,0
1,28,154,6,2,0,1,2022,8,28,0,0,0,2,2,1,0.4166666666666667,159.5,6.083333333333333,1
0,21,100,8,7,6,0,2022,8,29,0,7,5,7,6,1,0.2307692307692307,126.3846153846154,6.769230769230769,1
1,29,172,4,6,7,1,2022,8,29,1,7,5,7,6,0,0.625,141.0,6.875,0
0,22,82,10,0,1,0,2022,8,30,0,3,3,1,1,0,0.5,130.42857142857142,6.5,0
0,30,139,6,1,0,1,2022,8,30,1,3,3,0,0,0,0.4285714285714285,145.64285714285714,5.928571428571429,0
1,23,145,6,3,5,0,2022,8,31,1,1,2,5,3,0,0.4166666666666667,130.75,5.166666666666667,0
1,24,163,2,4,2,0,2022,8,31,0,4,4,4,4,1,0.7142857142857143,118.85714285714286,7.071428571428571,1
1,31,135,8,3,5,1,2022,8,31,1,1,2,5,3,0,0.4285714285714285,154.42857142857142,5.785714285714286,1
0,32,143,9,4,2,1,2022,8,31,0,4,4,4,2,1,0.5714285714285714,147.28571428571428,6.071428571428571,1
0,40,150,7,1,2,1,2022,9,2,0,6,6,1,2,1,0.4,145.2,5.933333333333334,0
1,40,134,6,5,6,0,2022,9,2,1,6,6,6,5,0,0.8,125.06666666666666,5.8,0
0,50,120,9,2,6,1,2022,9,3,0,3,3,2,6,1,0.5333333333333333,157.4,6.333333333333333,1
0,50,101,7,5,4,0,2022,9,3,0,3,3,5,4,1,0.8125,125.625,5.8125,1
