"Result","match_number","season","gender","team_code","opponent_code","winner_code","toss_winner_code","team_score","team_wickets","win_by_runs","win_by_wickets","days_from_start","choose_to_bat","home_advantage","venue_city_code","avg_win_rate","avg_score","avg_wickets_out","last_match_result"
"1",17,2022,"1",7,5,7,5,181,4,25,0,14,"0","1",7,0.615384615384615,138.923076923077,5.23076923076923,"0"
"1",18,2022,"1",3,6,3,6,188,3,68,0,15,"0","0",6,0.3,138.7,6.7,"1"
"1",19,2022,"1",4,1,4,1,169,6,32,0,16,"0","0",1,0.363636363636364,151.636363636364,6.09090909090909,"0"
"0",20,2022,"1",2,7,7,7,122,10,0,6,17,"0","0",7,0.454545454545454,142.636363636364,6.27272727272727,"1"
"1",21,2022,"1",3,4,3,4,208,5,23,0,18,"0","0",4,0.363636363636364,143.181818181818,6.36363636363636,"1"
"0",22,2022,"1",8,6,6,6,129,8,0,9,19,"0","1",8,0.25,133.5,6.58333333333333,"0"
"1",23,2022,"1",1,5,1,5,166,6,10,0,20,"0","0",5,0.642857142857143,148.071428571429,5.42857142857143,"0"
"1",24,2022,"1",2,8,2,8,156,6,17,0,21,"0","1",2,0.416666666666667,140.916666666667,6.58333333333333,"0"
"0",25,2022,"1",7,6,6,6,138,6,0,6,22,"0","0",6,0.666666666666667,140.933333333333,5.06666666666667,"1"
"0",26,2022,"1",8,4,4,8,114,4,0,6,23,"1","1",8,0.214285714285714,133.571428571429,6.85714285714286,"0"
"0",27,2022,"1",2,5,5,2,122,7,0,6,24,"1","1",2,0.461538461538462,142.076923076923,6.53846153846154,"1"
"1",28,2022,"1",3,1,3,3,154,6,79,0,25,"1","0",1,0.416666666666667,148.583333333333,6.25,"1"
"1",29,2022,"1",7,8,7,8,172,4,29,0,26,"0","1",7,0.625,140.75,5.125,"0"
"0",30,2022,"1",2,1,1,1,139,6,0,1,27,"0","1",2,0.428571428571429,140.642857142857,6.57142857142857,"0"
"1",31,2022,"1",4,6,4,6,135,8,16,0,28,"0","1",4,0.428571428571429,152.714285714286,6,"1"
"0",32,2022,"1",5,3,3,5,143,9,0,6,28,"1","0",3,0.571428571428571,145.5,5.78571428571429,"1"
"0",40,2022,"1",2,3,3,2,150,7,0,5,30,"1","0",3,0.4,140.533333333333,6.53333333333333,"0"
"0",50,2022,"1",3,7,7,3,120,9,0,2,31,"1","0",7,0.533333333333333,148.8,6,"1"
