Result,match_number,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,team_score,team_wickets,win_by_runs,win_by_wickets,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
win,6,Southern Brave,Oval Invincibles,female,2022,8,14,no,"Kennington Oval, London",London,Oval Invincibles,Southern Brave,153,8,12,0,no,yes,0.8,120.8,4.2,win
lose,7,Trent Rockets,Birmingham Phoenix,female,2022,8,15,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,116,9,0,8,no,yes,0.5,124.625,5.875,win
win,8,Manchester Originals,Welsh Fire,female,2022,8,16,yes,"Old Trafford, Manchester",Manchester,Welsh Fire,Manchester Originals,156,2,11,0,no,yes,0.375,112.375,4.875,lose
lose,9,Trent Rockets,Oval Invincibles,female,2022,8,17,yes,"Trent Bridge, Nottingham",Nottingham,Oval Invincibles,Oval Invincibles,112,8,0,5,no,yes,0.4444444444444444,123.66666666666669,6.222222222222222,lose
win,10,Southern Brave,Manchester Originals,female,2022,8,18,yes,"The Rose Bowl, Southampton",Southampton,Manchester Originals,Southern Brave,136,5,9,0,no,yes,0.8181818181818182,123.72727272727272,4.545454545454546,win
win,11,Birmingham Phoenix,Northern Superchargers,female,2022,8,19,yes,"Edgbaston, Birmingham",Birmingham,Northern Superchargers,Birmingham Phoenix,153,4,5,0,no,yes,0.5454545454545454,129.36363636363637,5.909090909090909,win
win,12,Trent Rockets,London Spirit,female,2022,8,20,yes,"Trent Bridge, Nottingham",Nottingham,London Spirit,Trent Rockets,142,4,18,0,no,yes,0.4,122.5,6.4,lose
lose,13,Manchester Originals,Northern Superchargers,female,2022,8,21,no,"Headingley, Leeds",Leeds,Manchester Originals,Northern Superchargers,160,3,0,7,yes,no,0.4,118.2,4.9,lose
win,14,Southern Brave,Welsh Fire,female,2022,8,22,no,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Southern Brave,122,8,14,0,no,yes,0.8333333333333334,124.75,4.583333333333333,win
lose,15,Birmingham Phoenix,Oval Invincibles,female,2022,8,23,no,"Kennington Oval, London",London,Oval Invincibles,Oval Invincibles,106,7,0,8,no,yes,0.5833333333333334,131.33333333333334,5.75,win
lose,16,Welsh Fire,London Spirit,female,2022,8,24,no,"Lord's, London",London,Welsh Fire,London Spirit,119,9,0,8,yes,no,0.1818181818181818,120.1818181818182,6.545454545454546,lose
lose,17,Trent Rockets,Southern Brave,female,2022,8,25,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,88,8,0,10,no,yes,0.4545454545454545,124.27272727272728,6.181818181818182,win
win,18,Welsh Fire,Northern Superchargers,female,2022,8,26,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Welsh Fire,123,6,11,0,yes,no,0.1666666666666666,120.08333333333331,6.75,lose
lose,19,London Spirit,Oval Invincibles,female,2022,8,27,yes,"Lord's, London",London,Oval Invincibles,Oval Invincibles,80,10,0,9,no,yes,0.4166666666666667,121.41666666666669,5.833333333333333,win
win,20,Manchester Originals,Birmingham Phoenix,female,2022,8,28,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Manchester Originals,122,6,18,0,no,yes,0.3636363636363636,122.0,4.727272727272728,lose
lose,21,Welsh Fire,Trent Rockets,female,2022,8,29,no,"Trent Bridge, Nottingham",Nottingham,Welsh Fire,Trent Rockets,100,8,0,8,yes,no,0.2307692307692307,120.3076923076923,6.6923076923076925,win
lose,22,Birmingham Phoenix,London Spirit,female,2022,8,30,no,"Lord's, London",London,London Spirit,London Spirit,82,10,0,4,no,yes,0.5,127.57142857142856,6.142857142857143,lose
win,23,Northern Superchargers,Southern Brave,female,2022,8,31,yes,"Headingley, Leeds",Leeds,Southern Brave,Northern Superchargers,145,6,20,0,no,yes,0.4166666666666667,128.41666666666666,5.083333333333333,lose
