Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result,toss_result
0,1.0,143,5,3,4,0,2022,8,11,0,2,3,4,4,0,1,0.4285714285714285,123.28571428571428,5.714285714285714,0,1
0,9.0,157,7,3,4,1,2022,8,11,0,2,3,4,4,0,1,0.4444444444444444,152.33333333333334,6.0,0,1
0,2.0,155,4,1,5,0,2022,8,12,0,6,6,1,5,1,0,0.5,119.375,6.875,1,0
1,10.0,147,6,1,5,1,2022,8,12,0,6,6,1,1,1,0,0.3333333333333333,149.88888888888889,5.444444444444445,1,1
1,3.0,119,5,6,2,0,2022,8,13,0,4,4,2,6,0,1,0.4285714285714285,132.42857142857142,6.285714285714286,0,0
1,4.0,161,5,0,7,0,2022,8,13,0,5,1,7,0,0,1,0.4444444444444444,129.77777777777777,6.666666666666667,0,0
0,11.0,189,3,2,6,1,2022,8,13,1,4,4,6,6,0,1,0.25,147.5,6.625,0,1
1,12.0,130,7,0,7,1,2022,8,13,0,5,1,7,0,0,1,0.6363636363636364,152.54545454545453,5.727272727272728,1,0
1,5.0,127,4,3,1,0,2022,8,14,1,1,2,1,3,0,1,0.375,125.75,5.625,0,0
1,6.0,153,8,5,4,0,2022,8,14,0,2,3,4,5,0,1,0.8,123.2,5.2,1,0
0,13.0,143,5,3,1,1,2022,8,14,1,1,2,3,1,1,0,0.4,152.8,6.1,0,0
0,14.0,137,6,5,4,1,2022,8,14,0,2,3,4,4,0,1,0.6666666666666666,140.58333333333334,5.916666666666667,0,1
0,7.0,116,9,6,0,0,2022,8,15,0,0,0,0,0,0,1,0.5,130.75,6.125,1,1
0,15.0,145,6,6,0,1,2022,8,15,0,0,0,0,0,0,1,0.6666666666666666,139.16666666666666,7.0,1,1
1,8.0,156,2,2,7,0,2022,8,16,1,4,4,7,2,0,1,0.375,123.125,6.125,0,0
1,16.0,149,9,2,7,1,2022,8,16,1,4,4,7,2,0,1,0.2222222222222222,152.11111111111111,6.222222222222222,0,0
0,9.0,112,8,6,4,0,2022,8,17,1,7,5,4,4,0,1,0.4444444444444444,129.11111111111111,6.444444444444445,0,1
1,17.0,181,4,6,4,1,2022,8,17,1,7,5,4,6,0,1,0.6153846153846154,139.6153846153846,6.923076923076923,0,0
1,10.0,136,5,5,2,0,2022,8,18,1,6,6,2,5,0,1,0.8181818181818182,125.9090909090909,5.454545454545454,1,0
1,18.0,188,3,2,5,1,2022,8,18,0,6,6,5,2,0,1,0.3,151.8,6.5,1,0
1,11.0,153,4,0,3,0,2022,8,19,1,0,0,3,0,0,1,0.5454545454545454,131.36363636363637,6.727272727272728,1,0
1,19.0,169,6,3,0,1,2022,8,19,0,0,0,0,3,0,1,0.3636363636363636,151.9090909090909,6.0,0,0
1,12.0,142,4,6,1,0,2022,8,20,1,7,5,1,6,0,1,0.4,127.4,6.6,0,0
0,20.0,122,10,1,6,1,2022,8,20,0,7,5,6,6,0,1,0.4545454545454545,149.0,5.454545454545454,1,1
0,13.0,160,3,2,3,0,2022,8,21,0,1,2,2,3,1,0,0.4,127.7,5.6,0,0
1,21.0,208,5,2,3,1,2022,8,21,0,1,2,3,2,0,1,0.3636363636363636,155.0909090909091,6.181818181818182,1,0
1,14.0,122,8,5,7,0,2022,8,22,0,5,1,7,5,0,1,0.8333333333333334,126.75,5.416666666666667,1,0
0,22.0,129,8,7,5,1,2022,8,22,1,5,1,5,5,0,1,0.25,148.58333333333334,6.0,0,1
0,15.0,106,7,0,4,0,2022,8,23,0,2,3,4,4,0,1,0.5833333333333334,133.16666666666666,6.5,1,1
1,23.0,166,6,0,4,1,2022,8,23,0,2,3,4,0,0,1,0.6428571428571429,151.57142857142858,5.857142857142857,0,0
0,16.0,119,9,7,1,0,2022,8,24,0,3,3,7,1,1,0,0.1818181818181818,127.36363636363636,6.636363636363637,0,0
1,24.0,156,6,1,7,1,2022,8,24,1,3,3,7,1,0,1,0.4166666666666667,146.75,5.833333333333333,0,0
0,17.0,88,8,6,5,0,2022,8,25,0,6,6,5,5,0,1,0.4545454545454545,128.72727272727272,6.363636363636363,1,1
0,25.0,138,6,6,5,1,2022,8,25,0,6,6,5,5,0,1,0.6666666666666666,141.2,6.933333333333334,1,1
1,18.0,123,6,7,3,0,2022,8,26,1,5,1,7,7,1,0,0.1666666666666666,126.66666666666669,6.833333333333333,0,1
