Result,match_number,total_score,total_wickets_player_out,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,toss_decision,choose_to_bat,choose_to_field,forced_to_bat,forced_to_field
win,18.0,129,9,Oval Invincibles,Birmingham Phoenix,female,2021,8,4,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Oval Invincibles,field,no,no,no,yes
loose,18.0,172,3,Oval Invincibles,Birmingham Phoenix,male,2021,8,4,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no
win,18.0,172,3,Birmingham Phoenix,Oval Invincibles,male,2021,8,4,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,field,no,yes,no,no
loose,19.0,123,7,Southern Brave,Manchester Originals,female,2021,8,5,no,"Old Trafford, Manchester",Manchester,Manchester Originals,Manchester Originals,bat,no,no,yes,no
win,19.0,123,7,Manchester Originals,Southern Brave,female,2021,8,5,yes,"Old Trafford, Manchester",Manchester,Manchester Originals,Manchester Originals,field,no,yes,no,no
loose,20.0,102,10,Welsh Fire,Trent Rockets,female,2021,8,6,yes,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,bat,no,no,yes,no
win,20.0,102,10,Trent Rockets,Welsh Fire,female,2021,8,6,no,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,field,no,yes,no,no
loose,20.0,139,8,Welsh Fire,Trent Rockets,male,2021,8,6,yes,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,bat,no,no,yes,no
win,20.0,139,8,Trent Rockets,Welsh Fire,male,2021,8,6,no,"Sophia Gardens, Cardiff",Cardiff,Trent Rockets,Trent Rockets,field,no,yes,no,no
loose,21.0,128,6,Northern Superchargers,Southern Brave,male,2021,8,7,no,"The Rose Bowl, Southampton",Southampton,Northern Superchargers,Southern Brave,bat,yes,no,no,no
win,21.0,128,6,Southern Brave,Northern Superchargers,male,2021,8,7,yes,"The Rose Bowl, Southampton",Southampton,Northern Superchargers,Southern Brave,field,no,no,no,yes
loose,21.0,76,3,Northern Superchargers,Southern Brave,female,2021,8,7,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no
win,21.0,76,3,Southern Brave,Northern Superchargers,female,2021,8,7,yes,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,field,no,yes,no,no
win,22.0,125,6,Oval Invincibles,Trent Rockets,male,2021,8,8,yes,"Kennington Oval, London",London,Trent Rockets,Oval Invincibles,bat,no,no,yes,no
loose,22.0,125,6,Trent Rockets,Oval Invincibles,male,2021,8,8,no,"Kennington Oval, London",London,Trent Rockets,Oval Invincibles,field,no,yes,no,no
loose,23.0,127,9,Welsh Fire,Birmingham Phoenix,female,2021,8,9,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,bat,no,no,yes,no
win,23.0,127,9,Birmingham Phoenix,Welsh Fire,female,2021,8,9,yes,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Birmingham Phoenix,field,no,yes,no,no
win,23.0,184,5,Birmingham Phoenix,Welsh Fire,male,2021,8,9,yes,"Edgbaston, Birmingham",Birmingham,Welsh Fire,Birmingham Phoenix,bat,no,no,yes,no
loose,23.0,184,5,Welsh Fire,Birmingham Phoenix,male,2021,8,9,no,"Edgbaston, Birmingham",Birmingham,Welsh Fire,Birmingham Phoenix,field,no,yes,no,no
loose,24.0,127,5,Manchester Originals,London Spirit,female,2021,8,10,yes,"Old Trafford, Manchester",Manchester,Manchester Originals,London Spirit,bat,yes,no,no,no
win,24.0,127,5,London Spirit,Manchester Originals,female,2021,8,10,no,"Old Trafford, Manchester",Manchester,Manchester Originals,London Spirit,field,no,no,no,yes
win,24.0,142,6,London Spirit,Manchester Originals,male,2021,8,10,no,"Old Trafford, Manchester",Manchester,London Spirit,London Spirit,bat,yes,no,no,no
loose,24.0,142,6,Manchester Originals,London Spirit,male,2021,8,10,yes,"Old Trafford, Manchester",Manchester,London Spirit,London Spirit,field,no,no,no,yes
loose,25.0,144,5,Welsh Fire,Southern Brave,male,2021,8,11,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,bat,no,no,yes,no
win,25.0,144,5,Southern Brave,Welsh Fire,male,2021,8,11,yes,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,field,no,yes,no,no
win,25.0,166,3,Southern Brave,Welsh Fire,female,2021,8,11,yes,"The Rose Bowl, Southampton",Southampton,Welsh Fire,Southern Brave,bat,no,no,yes,no
